rank,country,crime_index,safety_index,year,safety_tier
1,Venezuela,80.7,19.3,2025,Very Unsafe
2,Papua New Guinea,80.3,19.7,2025,Very Unsafe
3,Haiti,78.9,21.1,2025,Very Unsafe
4,Afghanistan,75.1,24.9,2025,Very Unsafe
5,South Africa,74.7,25.3,2025,Unsafe
6,Honduras,72.0,28.0,2025,Unsafe
7,Trinidad And Tobago,70.9,29.1,2025,Unsafe
8,Syria,68.1,31.9,2025,Unsafe
9,Jamaica,67.4,32.6,2025,Unsafe
10,Peru,67.1,32.9,2025,Unsafe
11,Nigeria,66.6,33.4,2025,Unsafe
12,Guyana,66.3,33.7,2025,Unsafe
13,Angola,66.3,33.7,2025,Unsafe
14,Cameroon,65.5,34.5,2025,Unsafe
15,Bolivia,65.0,35.0,2025,Unsafe
16,Brazil,64.5,35.5,2025,Unsafe
17,Somalia,63.9,36.1,2025,Unsafe
18,Yemen,63.7,36.3,2025,Unsafe
19,Namibia,63.5,36.5,2025,Unsafe
20,Argentina,63.4,36.6,2025,Unsafe
21,Ecuador,62.5,37.5,2025,Unsafe
22,Bangladesh,61.6,38.4,2025,Unsafe
23,Puerto Rico,61.5,38.5,2025,Unsafe
24,Colombia,60.9,39.1,2025,Unsafe
25,Zimbabwe,60.7,39.3,2025,Unsafe
26,Dominican Republic,60.5,39.5,2025,Unsafe
27,Chile,60.5,39.5,2025,Unsafe
28,Mozambique,60.1,39.9,2025,Unsafe
29,Us Virgin Islands,59.9,40.1,2025,Moderate
30,Paraguay,59.8,40.2,2025,Moderate
31,El Salvador,58.6,41.4,2025,Moderate
32,Guatemala,57.7,42.3,2025,Moderate
33,Bahamas,56.9,43.1,2025,Moderate
34,Fiji,56.6,43.4,2025,Moderate
35,Ivory Coast,56.4,43.6,2025,Moderate
36,Libya,56.4,43.6,2025,Moderate
37,Kenya,56.0,44.0,2025,Moderate
38,France,55.4,44.6,2025,Moderate
39,Kyrgyzstan,54.3,45.7,2025,Moderate
40,North Korea,54.1,45.9,2025,Moderate
41,Maldives,54.1,45.9,2025,Moderate
42,Uganda,54.1,45.9,2025,Moderate
43,Costa Rica,54.1,45.9,2025,Moderate
44,Tanzania,53.5,46.5,2025,Moderate
45,Mexico,53.4,46.6,2025,Moderate
46,Belize,52.7,47.3,2025,Moderate
47,Botswana,52.7,47.3,2025,Moderate
48,Algeria,52.6,47.4,2025,Moderate
49,Mongolia,52.1,47.9,2025,Moderate
50,Uruguay,52.0,48.0,2025,Moderate
51,Cambodia,51.3,48.7,2025,Moderate
52,Myanmar,50.9,49.1,2025,Moderate
53,Nicaragua,50.8,49.2,2025,Moderate
54,Ethiopia,50.7,49.3,2025,Moderate
55,Iran,50.5,49.5,2025,Moderate
56,Mauritius,50.0,50.0,2025,Moderate
57,Belarus,49.8,50.2,2025,Moderate
58,Belgium,49.4,50.6,2025,Moderate
59,United States,49.2,50.8,2025,Moderate
60,Malaysia,48.9,51.1,2025,Moderate
61,United Kingdom,48.3,51.7,2025,Moderate
62,New Zealand,48.2,51.8,2025,Moderate
63,Sweden,48.0,52.0,2025,Moderate
64,Morocco,47.8,52.2,2025,Moderate
65,Ireland,47.6,52.4,2025,Moderate
66,Egypt,47.3,52.7,2025,Moderate
67,Australia,47.3,52.7,2025,Moderate
68,Ukraine,47.0,53.0,2025,Moderate
69,Italy,46.9,53.1,2025,Moderate
70,Lebanon,46.8,53.2,2025,Moderate
71,Greece,46.4,53.6,2025,Moderate
72,Indonesia,46.0,54.0,2025,Moderate
73,Canada,45.7,54.3,2025,Moderate
74,Zambia,45.6,54.4,2025,Moderate
75,Sudan,45.5,54.5,2025,Moderate
76,Ghana,45.4,54.6,2025,Moderate
77,Kazakhstan,45.2,54.8,2025,Moderate
78,Tunisia,45.1,54.9,2025,Moderate
79,Barbados,44.9,55.1,2025,Safe
80,Albania,44.7,55.3,2025,Safe
81,India,44.3,55.7,2025,Safe
82,Moldova,44.3,55.7,2025,Safe
83,Pakistan,43.7,56.3,2025,Safe
84,Philippines,43.1,56.9,2025,Safe
85,Iraq,43.1,56.9,2025,Safe
86,Malta,43.0,57.0,2025,Safe
87,Palestine,42.8,57.2,2025,Safe
88,Panama,42.7,57.3,2025,Safe
89,Sri Lanka,42.1,57.9,2025,Safe
90,Bosnia And Herzegovina,41.7,58.3,2025,Safe
91,Turkey,41.2,58.8,2025,Safe
92,North Macedonia,41.1,58.9,2025,Safe
93,Kosovo (Disputed Territory),40.8,59.2,2025,Safe
94,Vietnam,40.8,59.2,2025,Safe
95,Jordan,40.0,60.0,2025,Safe
96,Germany,39.4,60.6,2025,Safe
97,Russia,38.7,61.3,2025,Safe
98,Thailand,37.3,62.7,2025,Safe
99,Serbia,37.2,62.8,2025,Safe
100,Latvia,37.1,62.9,2025,Safe
101,Nepal,36.7,63.3,2025,Safe
102,Spain,36.6,63.4,2025,Safe
103,Bulgaria,36.1,63.9,2025,Safe
104,Montenegro,35.4,64.6,2025,Safe
105,Cuba,34.4,65.6,2025,Safe
106,Luxembourg,34.2,65.8,2025,Safe
107,Hungary,33.7,66.3,2025,Safe
108,Cyprus,33.1,66.9,2025,Safe
109,Norway,33.0,67.0,2025,Safe
110,Kuwait,32.8,67.2,2025,Safe
111,Lithuania,32.4,67.6,2025,Safe
112,Romania,32.3,67.7,2025,Safe
113,Portugal,32.1,67.9,2025,Safe
114,Azerbaijan,31.8,68.2,2025,Safe
115,Israel,31.8,68.2,2025,Safe
116,Slovakia,31.0,69.0,2025,Safe
117,Cayman Islands,30.8,69.2,2025,Safe
118,Austria,29.5,70.5,2025,Very Safe
119,Brunei,29.3,70.7,2025,Very Safe
120,Poland,29.0,71.0,2025,Very Safe
121,Uzbekistan,27.9,72.1,2025,Very Safe
122,Rwanda,26.9,73.1,2025,Very Safe
123,Netherlands,26.9,73.1,2025,Very Safe
124,Finland,26.8,73.2,2025,Very Safe
125,Czech Republic,26.5,73.5,2025,Very Safe
126,Switzerland,26.5,73.5,2025,Very Safe
127,Georgia,26.3,73.7,2025,Very Safe
128,Denmark,26.0,74.0,2025,Very Safe
129,Iceland,25.7,74.3,2025,Very Safe
130,Croatia,25.5,74.5,2025,Very Safe
131,South Korea,24.9,75.1,2025,Very Safe
132,Bahrain,24.5,75.5,2025,Very Safe
133,China,24.0,76.0,2025,Very Safe
134,Saudi Arabia,23.9,76.1,2025,Very Safe
135,Slovenia,23.8,76.2,2025,Very Safe
136,Estonia,23.7,76.3,2025,Very Safe
137,Monaco,23.3,76.7,2025,Very Safe
138,Japan,22.9,77.1,2025,Very Safe
139,Singapore,22.6,77.4,2025,Very Safe
140,Armenia,22.1,77.9,2025,Very Safe
141,Hong Kong (China),21.5,78.5,2025,Very Safe
142,Isle Of Man,21.0,79.0,2025,Very Safe
143,Oman,18.3,81.7,2025,Very Safe
144,Taiwan,17.1,82.9,2025,Very Safe
145,Qatar,15.8,84.2,2025,Very Safe
146,United Arab Emirates,15.5,84.5,2025,Very Safe
147,Andorra,15.3,84.7,2025,Very Safe
